figure,panel,evaluation,system,metric,label_or_condition,value,n,ci95_lower,ci95_upper
Fig. 3,a,Primary natural,Human reference,label share,SUPPORTED,0.7133333333333334,428,,
Fig. 3,a,Difficulty track,Human reference,label share,SUPPORTED,0.05,10,,
Fig. 3,a,Controlled challenge,Human reference,label share,SUPPORTED,0.45555555555555555,205,,
Fig. 3,a,Primary natural,Human reference,label share,NOT_SUPPORTED,0.17333333333333334,104,,
Fig. 3,a,Difficulty track,Human reference,label share,NOT_SUPPORTED,0.475,95,,
Fig. 3,a,Controlled challenge,Human reference,label share,NOT_SUPPORTED,0.27555555555555555,124,,
Fig. 3,a,Primary natural,Human reference,label share,INSUFFICIENT_CONTEXT,0.023333333333333334,14,,
Fig. 3,a,Difficulty track,Human reference,label share,INSUFFICIENT_CONTEXT,0.35,70,,
Fig. 3,a,Controlled challenge,Human reference,label share,INSUFFICIENT_CONTEXT,0.011111111111111112,5,,
Fig. 3,a,Primary natural,Human reference,label share,ENTITY_OR_TYPE_ERROR,0.09,54,,
Fig. 3,a,Difficulty track,Human reference,label share,ENTITY_OR_TYPE_ERROR,0.125,25,,
Fig. 3,a,Controlled challenge,Human reference,label share,ENTITY_OR_TYPE_ERROR,0.2577777777777778,116,,
Fig. 3,b,Primary natural,FERA-KG unified fusion,Macro-F1,,0.30808098678067714,600,,
Fig. 3,b,Primary natural,construction-only diagnostic,Macro-F1,,0.27826228359550176,600,,
Fig. 3,b,Difficulty track,FERA-KG unified fusion,Macro-F1,,0.31207052185035866,200,,
Fig. 3,b,Difficulty track,construction-only diagnostic,Macro-F1,,0.17981740150681788,200,,
Fig. 3,b,Controlled challenge,FERA-KG unified fusion,Macro-F1,,0.5542466041920864,450,,
Fig. 3,b,Controlled challenge,construction-only diagnostic,Macro-F1,,0.5840604880972924,450,,
Fig. 3,c,Primary natural,FERA-KG unified fusion,class F1,SUPPORTED,0.8084210526315788,428,,
Fig. 3,c,Primary natural,FERA-KG unified fusion,class F1,NOT_SUPPORTED,0.2222222222222222,104,,
Fig. 3,c,Primary natural,FERA-KG unified fusion,class F1,INSUFFICIENT_CONTEXT,0.0,14,,
Fig. 3,c,Primary natural,FERA-KG unified fusion,class F1,ENTITY_OR_TYPE_ERROR,0.20168067226890757,54,,
Fig. 3,c,Difficulty track,FERA-KG unified fusion,class F1,SUPPORTED,0.18823529411764706,10,,
Fig. 3,c,Difficulty track,FERA-KG unified fusion,class F1,NOT_SUPPORTED,0.4624277456647398,95,,
Fig. 3,c,Difficulty track,FERA-KG unified fusion,class F1,INSUFFICIENT_CONTEXT,0.4642857142857143,70,,
Fig. 3,c,Difficulty track,FERA-KG unified fusion,class F1,ENTITY_OR_TYPE_ERROR,0.13333333333333333,25,,
Fig. 3,c,Controlled challenge,FERA-KG unified fusion,class F1,SUPPORTED,0.7609254498714653,205,,
Fig. 3,c,Controlled challenge,FERA-KG unified fusion,class F1,NOT_SUPPORTED,0.5248868778280543,124,,
Fig. 3,c,Controlled challenge,FERA-KG unified fusion,class F1,INSUFFICIENT_CONTEXT,0.0,5,,
Fig. 3,c,Controlled challenge,FERA-KG unified fusion,class F1,ENTITY_OR_TYPE_ERROR,0.9311740890688259,116,,
Fig. 3,d,Primary natural,FERA-KG unified fusion,any_abstention_recall,Any-abstention recall,0.19117647058823528,600,,
Fig. 3,d,Primary natural,FERA-KG unified fusion,false_present_rate_on_gold_abstention,False-present rate,0.8088235294117647,600,,
Fig. 3,d,Primary natural,FERA-KG unified fusion,coverage,Coverage,0.8916666666666667,600,,
Fig. 3,d,Primary natural,FERA-KG unified fusion,knowledge_admission_error,Admission error,0.26436781609195403,600,,
Fig. 3,d,Difficulty track,FERA-KG unified fusion,any_abstention_recall,Any-abstention recall,0.3684210526315789,200,,
Fig. 3,d,Difficulty track,FERA-KG unified fusion,false_present_rate_on_gold_abstention,False-present rate,0.25263157894736843,200,,
Fig. 3,d,Difficulty track,FERA-KG unified fusion,coverage,Coverage,0.765,200,,
Fig. 3,d,Difficulty track,FERA-KG unified fusion,knowledge_admission_error,Admission error,0.8933333333333333,200,,
Fig. 3,d,Controlled challenge,FERA-KG unified fusion,any_abstention_recall,Any-abstention recall,0.9504132231404959,450,,
Fig. 3,d,Controlled challenge,FERA-KG unified fusion,false_present_rate_on_gold_abstention,False-present rate,0.0,450,,
Fig. 3,d,Controlled challenge,FERA-KG unified fusion,coverage,Coverage,0.6244444444444445,450,,
Fig. 3,d,Controlled challenge,FERA-KG unified fusion,knowledge_admission_error,Admission error,0.1956521739130435,450,,
