figure,panel,evaluation,system,metric,label_or_condition,value,n,ci95_lower,ci95_upper
Fig. 5,a,Primary natural,FERA-KG unified fusion,calibration-bin accuracy,bin 1; mean confidence=0.3121552017625292,0.36363636363636365,33,,
Fig. 5,a,Primary natural,FERA-KG unified fusion,calibration-bin accuracy,bin 2; mean confidence=0.3688474075309899,0.4264705882352941,68,,
Fig. 5,a,Primary natural,FERA-KG unified fusion,calibration-bin accuracy,bin 3; mean confidence=0.4359499884301035,0.5909090909090909,88,,
Fig. 5,a,Primary natural,FERA-KG unified fusion,calibration-bin accuracy,bin 4; mean confidence=0.5030285263581137,0.7819548872180451,133,,
Fig. 5,a,Primary natural,FERA-KG unified fusion,calibration-bin accuracy,bin 5; mean confidence=0.5678877622127972,0.8110236220472441,127,,
Fig. 5,a,Primary natural,FERA-KG unified fusion,calibration-bin accuracy,bin 6; mean confidence=0.6290561135818709,0.7982456140350878,114,,
Fig. 5,a,Primary natural,FERA-KG unified fusion,calibration-bin accuracy,bin 7; mean confidence=0.695230681523411,0.78125,32,,
Fig. 5,a,Primary natural,FERA-KG unified fusion,calibration-bin accuracy,bin 8; mean confidence=0.757243639527722,0.6,5,,
Fig. 5,a,Difficulty track,FERA-KG unified fusion,calibration-bin accuracy,bin 1; mean confidence=0.30598285331822583,0.23529411764705882,17,,
Fig. 5,a,Difficulty track,FERA-KG unified fusion,calibration-bin accuracy,bin 2; mean confidence=0.37094997054638706,0.2926829268292683,82,,
Fig. 5,a,Difficulty track,FERA-KG unified fusion,calibration-bin accuracy,bin 3; mean confidence=0.4271694739077903,0.3880597014925373,67,,
Fig. 5,a,Difficulty track,FERA-KG unified fusion,calibration-bin accuracy,bin 4; mean confidence=0.49762582567430663,0.3333333333333333,15,,
Fig. 5,a,Difficulty track,FERA-KG unified fusion,calibration-bin accuracy,bin 5; mean confidence=0.559476865030583,0.2,10,,
Fig. 5,a,Difficulty track,FERA-KG unified fusion,calibration-bin accuracy,bin 6; mean confidence=0.6235271200857964,0.14285714285714285,7,,
Fig. 5,a,Difficulty track,FERA-KG unified fusion,calibration-bin accuracy,bin 7; mean confidence=0.6893485699057661,0.0,1,,
Fig. 5,a,Difficulty track,FERA-KG unified fusion,calibration-bin accuracy,bin 8; mean confidence=0.7342955266798856,1.0,1,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 1; mean confidence=0.29994071764419417,0.5,2,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 2; mean confidence=0.3705094855197645,0.3684210526315789,19,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 3; mean confidence=0.43848164160074826,0.4835164835164835,91,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 4; mean confidence=0.4977202963694467,0.5949367088607594,79,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 5; mean confidence=0.5704332468367,0.9180327868852459,61,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 6; mean confidence=0.6315710853051507,0.8305084745762712,59,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 7; mean confidence=0.7012053875775179,0.7804878048780488,41,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 8; mean confidence=0.7650171723865816,0.8823529411764706,17,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 9; mean confidence=0.8264639972351391,1.0,29,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 10; mean confidence=0.9042568164533368,1.0,25,,
Fig. 5,a,Controlled challenge,FERA-KG unified fusion,calibration-bin accuracy,bin 11; mean confidence=0.9518606229652637,1.0,27,,
Fig. 5,b,Primary natural,FERA-KG unified fusion,selective risk,coverage=0.1,0.2666666666666667,600,,
Fig. 5,b,Primary natural,FERA-KG unified fusion,selective risk,coverage=0.2,0.20833333333333337,600,,
