figure,panel,evaluation,system,metric,label_or_condition,value,n,ci95_lower,ci95_upper
Fig. 6,a,Insufficient-context stress,FERA-KG unified fusion,macro_f1,Macro-F1,0.13953488372093023,150,,
Fig. 6,a,Insufficient-context stress,FERA-KG unified fusion,accuracy,Accuracy,0.16,150,,
Fig. 6,a,Insufficient-context stress,FERA-KG unified fusion,three_decision_macro_f1,3-decision Macro-F1,0.23124425174090132,150,,
Fig. 6,a,Insufficient-context stress,fixed pre-existing comparator,macro_f1,Macro-F1,0.12352941176470589,150,,
Fig. 6,a,Insufficient-context stress,fixed pre-existing comparator,accuracy,Accuracy,0.14,150,,
Fig. 6,a,Insufficient-context stress,fixed pre-existing comparator,three_decision_macro_f1,3-decision Macro-F1,0.4499108734402852,150,,
Fig. 6,b,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,macro_f1,Macro-F1,0.260748036494894,356,,
Fig. 6,b,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,accuracy,Accuracy,0.3455056179775281,356,,
Fig. 6,b,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,three_decision_macro_f1,3-decision Macro-F1,0.33363217189634153,356,,
Fig. 6,b,Tiangong Kaiwu zero-shot,fixed pre-existing comparator,macro_f1,Macro-F1,0.3907914549218897,356,,
Fig. 6,b,Tiangong Kaiwu zero-shot,fixed pre-existing comparator,accuracy,Accuracy,0.5140449438202247,356,,
Fig. 6,b,Tiangong Kaiwu zero-shot,fixed pre-existing comparator,three_decision_macro_f1,3-decision Macro-F1,0.6296839327053033,356,,
Fig. 6,c,Insufficient-context stress,FERA-KG unified fusion,class F1,SUPPORTED,0.0,28,,
Fig. 6,c,Insufficient-context stress,FERA-KG unified fusion,class F1,NOT_SUPPORTED,0.5581395348837209,30,,
Fig. 6,c,Insufficient-context stress,FERA-KG unified fusion,class F1,INSUFFICIENT_CONTEXT,0.0,90,,
Fig. 6,c,Insufficient-context stress,FERA-KG unified fusion,class F1,ENTITY_OR_TYPE_ERROR,0.0,2,,
Fig. 6,c,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,class F1,SUPPORTED,0.42455242966751916,85,,
Fig. 6,c,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,class F1,NOT_SUPPORTED,0.5333333333333333,92,,
Fig. 6,c,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,class F1,INSUFFICIENT_CONTEXT,0.0,89,,
Fig. 6,c,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,class F1,ENTITY_OR_TYPE_ERROR,0.0851063829787234,90,,
Fig. 6,d,Insufficient-context stress,FERA-KG unified fusion,IC correct-reason recall,,0.0,150,,
Fig. 6,d,Insufficient-context stress,fixed pre-existing comparator,IC correct-reason recall,,0.0,150,,
Fig. 6,d,Insufficient-context stress,FERA-KG unified fusion,IC false-present rate,,0.7555555555555555,150,,
Fig. 6,d,Insufficient-context stress,fixed pre-existing comparator,IC false-present rate,,0.0,150,,
Fig. 6,d,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,Coverage,,0.9803370786516854,356,,
Fig. 6,d,Tiangong Kaiwu zero-shot,fixed pre-existing comparator,Coverage,,0.5084269662921348,356,,
Fig. 6,d,Tiangong Kaiwu zero-shot,FERA-KG unified fusion,Admission error,,0.7287581699346405,356,,
Fig. 6,d,Tiangong Kaiwu zero-shot,fixed pre-existing comparator,Admission error,,0.35,356,,
