record_id,entity_index,label,declared_start,declared_end,entity_text
1,1,食材,3,4,猪
1,2,食材,309,311,猪肚
1,3,食材,9,10,肺
1,4,食材,213,215,白水
1,5,食材,31,32,盐
1,6,食材,33,34,酒
1,7,食材,41,43,白矾
1,8,食材,103,106,稻草灰
1,9,食材,138,141,人美汁
1,10,食材,152,153,纸
1,11,食材,165,167,好醋
1,12,食材,194,196,沙糖
1,13,食材,232,233,葱
1,14,食材,234,235,椒
1,15,食材,254,256,松仁
1,16,食材,257,258,鲜
1,17,烹饪方法,0,1,煮
1,18,烹饪方法,17,19,油爆
1,19,烹饪方法,215,217,漂浸
1,20,烹饪方法,196,197,擦
1,21,烹饪方法,167,168,喷
1,22,禁忌,11,16,肚肺最忌油
1,23,禁忌,46,50,紧小堪用
1,24,禁忌,88,90,不气
1,25,食疗方,202,206,肺羹
2,1,食材,10,11,粉
2,2,食材,22,24,薄荷
2,3,食材,55,57,白糖
2,4,食材,72,75,荚豆粉
2,5,食材,81,84,白檀末
2,6,食材,103,104,面
2,7,食材,107,109,香油
2,8,食材,132,135,玫瑰糖
2,9,食材,137,139,胡桃
2,10,食材,139,141,白仁
2,11,食材,142,146,榛松瓜子
2,12,食材,149,151,杏仁
2,13,食材,165,168,小茴香
2,14,食材,178,180,芝麻
2,15,食材,199,201,糖卤
2,16,食材,214,216,炒面
2,17,食材,364,367,松子仁
2,18,食材,237,239,酥油
2,19,食材,287,289,干葛
2,20,食材,290,292,桔梗
2,21,食材,337,340,玫瑰花
2,22,食材,360,363,榛子仁
2,23,食材,354,357,瓜子仁
2,24,烹饪方法,35,36,煮
2,25,烹饪方法,403,404,烙
2,26,烹饪方法,440,441,熬
2,27,烹饪方法,413,414,煎
2,28,食疗方,86,102,内府玫瑰火饼
2,29,古籍来源,306,309,玉躇痛
3,1,食材,197,200,白糖霜
3,2,烹饪方法,171,172,煮
3,3,烹饪方法,355,356,熬
3,4,烹饪方法,446,447,研
3,5,烹饪方法,258,259,滤
3,6,烹饪方法,420,421,洗
3,7,烹饪方法,390,391,制
3,8,烹饪方法,431,432,漂
3,9,病症,381,383,霉烂
3,10,病症,397,399,碎裂
3,11,古籍来源,481,486,「46 若
3,12,养生原则,293,296,烹茶宜
3,13,养生原则,402,406,久宿乃妙
3,14,养生原则,302,309,源远流长者为佳
4,1,食材,17,19,麻菇
4,2,食材,20,22,鲜笋
4,3,食材,23,25,海蜇
4,4,食材,52,54,蹄爪
4,5,食材,65,68,石花莱
4,6,食材,104,106,大蹄
4,7,食材,120,122,核桃
4,8,食材,124,126,松仁
4,9,食材,9,10,肉
4,10,烹饪方法,28,29,煮
4,11,烹饪方法,11,12,切
4,12,烹饪方法,192,193,煨
4,13,烹饪方法,87,88,糟
4,14,烹饪方法,78,79,挂
4,15,烹饪方法,119,120,填
4,16,烹饪方法,137,138,扎
4,17,烹饪方法,144,145,捞
4,18,烹饪方法,158,160,切片
4,19,烹饪方法,89,90,蘸
5,1,食材,0,1,酱
5,2,食材,6,7,腐
5,3,食材,8,9,干
5,4,食材,22,23,水
5,5,食材,34,36,赤酱
5,6,食材,100,102,香蕈
5,7,食材,103,105,丁香
5,8,食材,106,108,白芷
5,9,食材,109,112,大茴香
5,10,食材,113,115,桧皮
5,11,食材,120,122,豆腐
5,12,食材,171,173,腐油
5,13,食材,259,261,虾米
5,14,食材,265,268,鲜味物
5,15,食材,218,220,汁汤
5,16,食材,12,13,腐
5,17,烹饪方法,46,47,煎
5,18,烹饪方法,17,18,切
5,19,烹饪方法,51,53,布沥
5,20,烹饪方法,126,127,煮
5,21,烹饪方法,130,131,浸
5,22,烹饪方法,200,201,沸
5,23,烹饪方法,230,231,烧
5,24,烹饪方法,236,237,下
5,25,烹饪方法,271,273,浸开
5,26,食疗方,162,169,豆腐脯
5,27,食疗方,208,215,豆腐汤
5,28,食疗方,249,256,煎豆腐
6,1,食材,3,6,太湖沙
6,2,食材,7,9,海沙
6,3,食材,23,24,豆
6,4,食材,27,29,香油
6,5,食材,56,58,油盐
6,6,食材,60,62,砂仁
6,7,食材,64,66,糖卤
6,8,食材,255,257,豆腐
6,9,食材,77,79,千豆
6,10,食材,335,337,黑豆
6,11,食材,338,340,黄豆
6,12,食材,341,343,白豆
6,13,食材,344,346,泥豆
6,14,食材,347,349,豌豆
6,15,食材,350,352,绿豆
6,16,食材,379,382,盐卤汁
6,17,食材,383,386,山矾叶
6,18,食材,387,389,醋浆
6,19,食材,390,392,醋淀
6,20,食材,153,155,石膏
6,21,烹饪方法,11,12,炒
6,22,烹饪方法,30,31,熬
6,23,烹饪方法,35,36,筛
6,24,烹饪方法,81,82,磨
6,25,烹饪方法,83,84,拉
6,26,烹饪方法,87,88,簸
6,27,烹饪方法,90,91,淘
6,28,烹饪方法,92,93,浸
6,29,烹饪方法,100,101,沥
6,30,烹饪方法,108,109,绞
6,31,烹饪方法,144,145,压
6,32,烹饪方法,202,203,炸
6,33,烹饪方法,285,286,煮
6,34,烹饪方法,374,375,煎
6,35,烹饪方法,395,396,收
6,36,功效,159,161,去火
6,37,古籍来源,326,330,本草纲目
6,38,医家,272,274,刘安
6,39,医家,281,284,苏东坡
7,1,食材,3,4,梅
7,2,食材,14,15,盐
7,3,食材,29,31,紫苏
7,4,食材,46,48,冰水
7,5,食材,77,79,白糖
7,6,食材,103,105,青梅
7,7,食材,155,158,大黑豆
7,8,食材,159,162,大黄豆
7,9,食材,167,170,大青豆
7,10,食材,182,183,面
7,11,食材,197,199,楮叶
7,12,食材,211,214,苦瓜皮
7,13,食材,246,248,杏仁
7,14,食味,0,1,咸
7,15,食味,53,54,甜
7,16,烹饪方法,19,20,晒
7,17,烹饪方法,24,26,去皮
7,18,烹饪方法,71,74,刻下肉
7,19,烹饪方法,79,81,拌匀
7,20,烹饪方法,85,86,顿
7,21,烹饪方法,102,103,腌
7,22,烹饪方法,232,233,榨
7,23,烹饪方法,174,175,浸
7,24,烹饪方法,178,180,煮熟
7,25,烹饪方法,185,187,缠衣
7,26,烹饪方法,194,196,凉干
7,27,烹饪方法,202,203,发
7,28,烹饪方法,207,209,淘净
7,29,烹饪方法,225,226,切
7,30,烹饪方法,236,238,飞盐
7,31,功效,49,51,消暑
7,32,功效,126,129,果不坏
7,33,功效,131,135,色鲜不退
7,34,功效,141,147,代醋拌蔬更佳
7,35,食疗方,97,101,梅卤
7,36,食疗方,149,153,豆豉
8,1,食材,5,7,枸杞
8,2,食材,11,13,白糖
8,3,食材,26,28,松仁
8,4,食材,39,42,黄甘菊
8,5,食材,60,62,梅卤
8,6,食材,85,87,山查
8,7,食材,113,116,红花膏
8,8,食材,141,143,蜂蜜
8,9,食材,154,155,梨
8,10,烹饪方法,7,9,去核
8,11,烹饪方法,13,15,拌捣
8,12,烹饪方法,17,19,模饼
8,13,烹饪方法,43,45,去蒂
8,14,烹饪方法,46,49,捣去汁
8,15,烹饪方法,53,55,和匀
8,16,烹饪方法,56,58,印饼
8,17,烹饪方法,88,90,蒸烂
8,18,烹饪方法,92,95,去皮核
8,19,烹饪方法,107,110,捣极匀
8,20,烹饪方法,181,182,熬
8,21,烹饪方法,130,132,切块
8,22,烹饪方法,140,141,涂
8,23,烹饪方法,146,148,收贮
8,24,烹饪方法,169,172,去核净
8,25,烹饪方法,173,175,捣出
8,26,食味,244,245,苦
8,27,功效,246,248,清热
8,28,食疗方,0,4,杞饼
8,29,食疗方,34,38,菊饼
8,30,食疗方,75,82,山查膏
9,1,食材,21,23,生面
9,2,食材,26,28,蒸面
9,3,食材,31,33,脂油
9,4,食材,37,41,蒸过豆粉
9,5,食材,65,66,蜜
9,6,食材,84,88,鳘犬油
9,7,食材,107,110,天花粉
9,8,食材,114,116,干葛
9,9,食材,120,122,桔梗
9,10,食疗方,0,13,千层薄脆饼
9,11,食疗方,56,60,炉饼
9,12,食疗方,99,106,玉露霜
9,13,烹饪方法,61,62,蒸
9,14,烹饪方法,47,48,和
9,15,烹饪方法,49,51,包馅
9,16,烹饪方法,52,54,入炉
9,17,烹饪方法,140,142,搅匀
9,18,烹饪方法,148,150,洒润
9,19,烹饪方法,158,159,铺
9,20,烹饪方法,476,477,研
9,21,功效,243,245,清热
9,22,功效,246,248,解渴
9,23,功效,249,251,解莓
9,24,功效,252,254,消肿
9,25,功效,306,308,发汗
9,26,功效,309,311,解热
9,27,功效,315,317,止泻
9,28,功效,400,402,祛痰
9,29,功效,403,405,排脓
9,30,病症,261,263,发热
9,31,病症,264,266,口渴
9,32,病症,268,273,津波缺乏
9,33,病症,274,275,疮
9,34,病症,276,277,疡
9,35,病症,278,279,痈
9,36,病症,280,281,肿
9,37,病症,325,333,热性病发热无汗
9,38,病症,337,339,头痛
9,39,病症,340,342,热痢
