record_id,detail_index,label,entity_text
2,1,食材,薄荷
2,2,食材,白糖
2,3,食材,荚豆粉
2,4,食材,白檀末
2,5,食材,面
2,6,食材,香油
2,7,食材,玫瑰糖
2,8,食材,胡桃白仁
2,9,食材,杏仁
2,10,食材,小茴香末
2,11,食材,松子仁
2,12,食材,干葛
2,13,食材,桔梗
2,14,食材,玫瑰花
2,15,食材,榛子仁
2,16,食材,瓜子仁
2,17,烹饪方法,煮
2,18,烹饪方法,烙
2,19,烹饪方法,煎
2,20,烹饪方法,炒
2,21,烹饪方法,熬
2,22,食疗方,内府玫瑰火饼
2,23,古籍来源,玉躇痛
3,1,食材,白糖霜
3,2,烹饪方法,煮
3,3,烹饪方法,煎
3,4,烹饪方法,熬
3,5,烹饪方法,澄漂
3,6,禁忌,饮之损人
3,7,禁忌,着衣服上即霉烂
3,8,养生原则,多备大缸贮下
3,9,养生原则,急旋成窝耶住手
3,10,养生原则,勿触动
3,11,养生原则,舀至七分耶止
3,12,养生原则,其周围白滓及底下泥连水淘冼
3,13,养生原则,然后将别缸水如前法舀过
3,14,养生原则,逐缸搬运毕
3,15,养生原则,三日后舀过缸
3,16,养生原则,剩去泥滓
3,17,养生原则,如此三遍
3,18,养生原则,人水煮滚透
3,19,养生原则,舀取入坛
3,20,养生原则,然后人水
3,21,养生原则,盖好
3,22,养生原则,亦须以绵绸滤去水中细
3,23,养生原则,秋冬水清
3,24,养生原则,山泉亦以源远流长者为佳
3,25,养生原则,若深潭停蓄之水
3,26,养生原则,无有来源
3,27,养生原则,且不流出
3,28,养生原则,但从凹山聚入者亦防有毒
3,29,养生原则,故必久宿乃妙
4,1,食材,麻菇
4,2,食材,鲜笋
4,3,食材,海蜇
4,4,食材,蹄爪
4,5,食材,石花莱
4,6,食材,大蹄
4,7,食材,核桃
4,8,食材,松仁
4,9,食材,肉
4,10,烹饪方法,煮
4,11,烹饪方法,切
4,12,烹饪方法,煨
4,13,烹饪方法,糟
4,14,烹饪方法,挂
4,15,烹饪方法,填
4,16,烹饪方法,扎
4,17,烹饪方法,捞
4,18,烹饪方法,切片
4,19,烹饪方法,蘸
5,1,食材,豆腐
5,2,食材,水酱
5,3,食材,赤酱
5,4,食材,香蕈
5,5,食材,丁香
5,6,食材,白芷
5,7,食材,大茴香
5,8,食材,桧皮
5,9,食材,虾米
5,10,烹饪方法,煎
5,11,烹饪方法,煮
5,12,烹饪方法,油煎
5,13,烹饪方法,炸
5,14,烹饪方法,烧
5,15,烹饪方法,浸
5,16,烹饪方法,布沥汁
5,17,烹饪方法,去渣
5,18,烹饪方法,滚油内沸
5,19,烹饪方法,调味得所
5,20,烹饪方法,浸开饭锅顿过
5,21,食疗方,豆腐脯
5,22,食疗方,豆腐汤
5,23,食疗方,煎豆腐
6,1,食材,太湖沙
