record_id,difficulty,category,source_title,entity_count
25,Easy,A,,0
230,Easy,B,05 随园食单.txt,0
265,Hard,B,07 吕氏春秋本味篇.txt,0
405,Medium,C,15 饮馔服食笺.txt,0
765,Easy,C,33 东京梦华录 都城纪胜 西湖老人繁胜录 梦粱录 武林旧事.txt,0
782,Hard,C,伊尹汤液经.txt,0
2,Easy,A,,23
3,Easy,A,,29
4,Easy,A,,19
5,Easy,A,,23
6,Easy,A,,29
7,Easy,A,,19
8,Easy,A,,18
9,Easy,A,,42
10,Easy,A,,16
11,Easy,A,,22
12,Medium,A,,10
13,Medium,A,,10
14,Medium,A,,0
15,Medium,A,,25
16,Medium,A,,7
17,Medium,A,,16
18,Medium,A,,35
19,Hard,A,,2
20,Hard,A,,13
21,Hard,A,,27
22,Hard,A,,25
23,Hard,A,,10
24,Easy,A,,12
26,Easy,A,,40
27,Easy,A,,30
28,Easy,A,,21
29,Easy,A,,49
30,Easy,A,,46
31,Easy,A,,39
32,Easy,A,,8
33,Easy,A,,19
34,Easy,A,,3
35,Medium,A,,23
36,Medium,A,,11
37,Medium,A,,13
38,Medium,A,,7
39,Medium,A,,0
40,Medium,A,,13
41,Medium,A,,3
42,Hard,A,,22
43,Hard,A,,64
44,Hard,A,,0
45,Hard,A,,0
46,Hard,A,,9
47,Easy,A,,74
48,Easy,A,,11
49,Easy,A,,18
50,Easy,A,,0
51,Easy,A,,20
52,Easy,A,,53
53,Easy,A,,23
54,Easy,A,,22
55,Easy,A,,28
56,Easy,A,,26
57,Easy,A,,51
58,Easy,A,,45
59,Easy,A,,57
60,Medium,A,,38
61,Medium,A,,34
62,Medium,A,,11
63,Medium,A,食疗本草（现代注释版）,13
64,Medium,A,食疗本草（现代注释版）,22
65,Medium,A,食疗本草（现代注释版）,41
66,Medium,A,食疗本草（现代注释版）,17
67,Medium,A,食疗本草（现代注释版）,20
68,Hard,A,食疗本草（现代注释版）,25
69,Hard,A,食疗本草（现代注释版）,17
70,Hard,A,食疗本草（现代注释版）,33
71,Hard,A,食疗本草（现代注释版）,43
72,Hard,A,食疗本草（现代注释版）,29
73,Easy,A,养老奉亲书_13767473.txt,38
74,Easy,A,养老奉亲书_13767473.txt,37
75,Easy,A,养老奉亲书_13767473.txt,58
76,Easy,A,养老奉亲书_13767473.txt,62
77,Easy,A,养老奉亲书_13767473.txt,54
78,Easy,A,养老奉亲书_13767473.txt,75
79,Easy,A,养老奉亲书_13767473.txt,101
80,Easy,A,养老奉亲书_13767473.txt,88
81,Easy,A,养老奉亲书_13767473.txt,36
82,Easy,A,养老奉亲书_13767473.txt,80
83,Easy,A,养老奉亲书_13767473.txt,32
84,Easy,A,养老奉亲书_13767473.txt,20
85,Easy,A,养老奉亲书_13767473.txt,80
86,Easy,A,养老奉亲书_13767473.txt,55
87,Easy,A,养老奉亲书_13767473.txt,62
88,Easy,A,养老奉亲书_13767473.txt,60
89,Easy,A,养老奉亲书_13767473.txt,47
90,Easy,A,养老奉亲书_13767473.txt,51
91,Easy,A,养老奉亲书_13767473.txt,3
92,Medium,A,养老奉亲书_13767473.txt,23
93,Medium,A,养老奉亲书_13767473.txt,29
94,Medium,A,养老奉亲书_13767473.txt,50
95,Medium,A,养老奉亲书_13767473.txt,34
96,Medium,A,养老奉亲书_13767473.txt,44
97,Medium,A,养老奉亲书_13767473.txt,28
98,Medium,A,养老奉亲书_13767473.txt,79
99,Medium,A,养老奉亲书_13767473.txt,27
100,Medium,A,养老奉亲书_13767473.txt,69
101,Medium,A,养老奉亲书_13767473.txt,48
102,Medium,A,养老奉亲书_13767473.txt,56
103,Hard,A,养老奉亲书_13767473.txt,12
104,Hard,A,养老奉亲书_13767473.txt,23
105,Hard,A,养老奉亲书_13767473.txt,50
106,Hard,A,养老奉亲书_13767473.txt,18
107,Hard,A,养老奉亲书_13767473.txt,2
108,Hard,A,养老奉亲书_13767473.txt,77
109,Hard,A,养老奉亲书_13767473.txt,83
110,Easy,B,随园食单（全本全注全译）中华书局2022.txt,16
111,Easy,B,随园食单（全本全注全译）中华书局2022.txt,14
112,Easy,B,随园食单（全本全注全译）中华书局2022.txt,23
113,Easy,B,随园食单（全本全注全译）中华书局2022.txt,27
114,Easy,B,随园食单（全本全注全译）中华书局2022.txt,7
115,Easy,B,随园食单（全本全注全译）中华书局2022.txt,14
116,Easy,B,随园食单（全本全注全译）中华书局2022.txt,39
117,Easy,B,随园食单（全本全注全译）中华书局2022.txt,10
118,Easy,B,随园食单（全本全注全译）中华书局2022.txt,10
119,Easy,B,随园食单（全本全注全译）中华书局2022.txt,0
120,Easy,B,随园食单（全本全注全译）中华书局2022.txt,22
121,Easy,B,随园食单（全本全注全译）中华书局2022.txt,10
122,Easy,B,随园食单（全本全注全译）中华书局2022.txt,13
123,Easy,B,随园食单（全本全注全译）中华书局2022.txt,0
124,Easy,B,随园食单（全本全注全译）中华书局2022.txt,21
125,Easy,B,随园食单（全本全注全译）中华书局2022.txt,20
126,Medium,B,随园食单（全本全注全译）中华书局2022.txt,11
127,Medium,B,随园食单（全本全注全译）中华书局2022.txt,23
128,Medium,B,随园食单（全本全注全译）中华书局2022.txt,0
129,Medium,B,随园食单（全本全注全译）中华书局2022.txt,0
130,Medium,B,随园食单（全本全注全译）中华书局2022.txt,16
131,Medium,B,随园食单（全本全注全译）中华书局2022.txt,29
132,Medium,B,随园食单（全本全注全译）中华书局2022.txt,10
133,Medium,B,随园食单（全本全注全译）中华书局2022.txt,40
134,Medium,B,随园食单（全本全注全译）中华书局2022.txt,14
135,Hard,B,随园食单（全本全注全译）中华书局2022.txt,5
136,Hard,B,随园食单（全本全注全译）中华书局2022.txt,18
137,Hard,B,随园食单（全本全注全译）中华书局2022.txt,10
138,Hard,B,随园食单（全本全注全译）中华书局2022.txt,12
139,Hard,B,随园食单（全本全注全译）中华书局2022.txt,0
140,Hard,B,随园食单（全本全注全译）中华书局2022.txt,10
141,Easy,A,食物本草_14051796.txt,74
142,Easy,A,食物本草_14051796.txt,96
