record_id,split
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
13,train
14,train
15,train
16,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
28,train
29,train
30,train
32,train
33,train
34,train
35,train
36,train
38,train
39,train
40,train
41,train
42,train
46,train
48,train
49,train
54,train
59,train
62,train
63,train
66,train
68,train
69,train
70,train
73,train
74,train
75,train
76,train
78,train
79,train
82,train
83,train
84,train
85,train
86,train
88,train
89,train
91,train
94,train
96,train
97,train
99,train
100,train
101,train
102,train
103,train
104,train
105,train
108,train
109,train
111,train
115,train
116,train
117,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
127,train
128,train
129,train
130,train
132,train
133,train
135,train
136,train
137,train
140,train
141,train
142,train
144,train
145,train
146,train
147,train
148,train
149,train
150,train
151,train
152,train
154,train
155,train
156,train
157,train
158,train
160,train
162,train
163,train
164,train
166,train
169,train
170,train
171,train
172,train
173,train
174,train
177,train
178,train
179,train
181,train
182,train
183,train
184,train
185,train
187,train
190,train
191,train
192,train
193,train
194,train
195,train
196,train
198,train
200,train
201,train
202,train
203,train
204,train
205,train
207,train
208,train
209,train
212,train
215,train
216,train
219,train
220,train
221,train
223,train
225,train
226,train
227,train
228,train
230,train
231,train
233,train
234,train
238,train
239,train
241,train
242,train
243,train
244,train
246,train
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,train
259,train
260,train
261,train
262,train
263,train
265,train
266,train
270,train
271,train
274,train
275,train
277,train
278,train
279,train
280,train
281,train
284,train
285,train
287,train
288,train
289,train
290,train
291,train
292,train
293,train
295,train
296,train
299,train
300,train
301,train
303,train
304,train
305,train
307,train
308,train
311,train
313,train
314,train
317,train
318,train
319,train
320,train
322,train
323,train
324,train
325,train
326,train
328,train
329,train
333,train
334,train
335,train
336,train
338,train
339,train
342,train
343,train
346,train
347,train
348,train
349,train
351,train
353,train
354,train
355,train
356,train
357,train
358,train
359,train
361,train
363,train
365,train
367,train
369,train
370,train
373,train
374,train
375,train
376,train
377,train
379,train
380,train
381,train
382,train
383,train
386,train
389,train
390,train
391,train
393,train
394,train
395,train
397,train
398,train
400,train
401,train
403,train
406,train
407,train
409,train
413,train
414,train
415,train
417,train
418,train
419,train
422,train
424,train
426,train
427,train
429,train
431,train
432,train
435,train
437,train
438,train
440,train
441,train
443,train
444,train
446,train
447,train
448,train
449,train
450,train
452,train
453,train
454,train
458,train
459,train
462,train
463,train
464,train
465,train
466,train
468,train
469,train
470,train
472,train
473,train
474,train
475,train
476,train
477,train
479,train
480,train
481,train
483,train
485,train
486,train
488,train
489,train
491,train
492,train
493,train
496,train
498,train
501,train
503,train
506,train
507,train
509,train
510,train
511,train
512,train
514,train
516,train
517,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,train
527,train
528,train
529,train
530,train
532,train
533,train
534,train
535,train
536,train
537,train
540,train
541,train
542,train
544,train
546,train
548,train
549,train
550,train
551,train
552,train
553,train
555,train
557,train
559,train
561,train
562,train
563,train
569,train
570,train
571,train
572,train
574,train
575,train
