record_id,entities,exact_match,text_found_at_other_position,entity_text_not_found_in_current_passage
2,23,5,17,1
3,29,19,10,0
4,19,0,19,0
5,23,0,20,3
6,29,9,20,0
7,19,1,18,0
8,18,0,15,3
9,42,0,42,0
10,16,10,6,0
11,22,3,19,0
12,10,0,10,0
13,10,8,2,0
15,25,4,21,0
16,7,4,3,0
17,16,3,13,0
18,35,1,34,0
19,2,0,2,0
20,13,8,5,0
21,27,0,27,0
22,25,6,19,0
23,10,2,8,0
24,12,0,12,0
26,40,7,33,0
27,30,30,0,0
28,21,21,0,0
29,49,49,0,0
30,46,12,34,0
31,39,0,39,0
32,8,8,0,0
33,19,0,19,0
34,3,1,2,0
35,23,14,9,0
36,11,1,10,0
37,13,2,11,0
38,7,7,0,0
40,13,9,4,0
41,3,3,0,0
42,22,1,21,0
43,64,63,0,1
46,9,4,5,0
47,74,18,56,0
48,11,3,8,0
49,18,7,11,0
51,20,0,20,0
52,53,13,40,0
53,23,5,16,2
54,22,6,16,0
55,28,0,27,1
56,26,17,9,0
57,51,12,38,1
58,45,0,45,0
59,57,4,53,0
60,38,12,26,0
61,34,17,17,0
62,11,0,11,0
63,13,0,10,3
64,22,13,7,2
65,41,29,10,2
66,17,0,17,0
67,20,9,11,0
68,25,6,19,0
69,17,12,3,2
70,33,4,27,2
71,43,11,29,3
72,29,27,2,0
73,38,38,0,0
74,37,0,36,1
75,58,13,42,3
76,62,1,58,3
77,54,0,52,2
78,75,1,71,3
79,101,6,91,4
80,88,1,76,11
81,36,23,9,4
82,80,0,75,5
83,32,31,0,1
84,20,0,20,0
85,80,0,80,0
86,55,6,46,3
87,62,1,59,2
88,60,28,29,3
89,47,1,45,1
90,51,47,0,4
91,3,0,2,1
92,23,22,0,1
93,29,21,7,1
94,50,34,13,3
95,34,0,33,1
96,44,25,17,2
97,28,1,26,1
98,79,29,45,5
99,27,14,13,0
100,69,0,66,3
101,48,9,38,1
102,56,0,55,1
103,12,3,8,1
104,23,1,20,2
105,50,6,43,1
106,18,6,11,1
107,2,0,1,1
108,77,14,56,7
109,83,0,78,5
