sample_id,source_key,page_number,reference_chars,raw_chars,cleaned_chars,raw_edit_distance,cleaned_edit_distance,raw_cer,cleaned_cer,delta_cleaned_minus_raw_cer
OCR-0001,13 食宪鸿秘,136,204,210,204,30,4.0,0.14705882352941177,0.0196078431372549,-0.12745098039215685
OCR-0003,8996f7340uae72fc4f9f641ea0edcd19,104,311,416,311,197,1.0,0.6334405144694534,0.003215434083601286,-0.6302250803858521
OCR-0004,8e39fed12o25fb8578276afd09e356f0,293,96,104,96,21,0.0,0.21875,0.0,-0.21875
OCR-0005,中国烹饪古籍丛书33种/02 易牙遗意,83,274,355,274,127,0.0,0.4635036496350365,0.0,-0.4635036496350365
OCR-0006,中国烹饪古籍丛书33种/04 醒园录,33,238,294,238,88,0.0,0.3697478991596639,0.0,-0.3697478991596639
OCR-0007,中国烹饪古籍丛书33种/05 随园食单,8,349,338,349,62,0.0,0.17765042979942694,0.0,-0.17765042979942694
OCR-0008,中国烹饪古籍丛书33种/06 素食说略,3,140,143,140,18,2.0,0.12857142857142856,0.014285714285714285,-0.11428571428571427
OCR-0009,中国烹饪古籍丛书33种/07 吕氏春秋本味篇,75,488,490,0,40,,0.08196721311475409,,
OCR-0010,中国烹饪古籍丛书33种/08 养小录,92,294,307,294,50,0.0,0.17006802721088435,0.0,-0.17006802721088435
OCR-0011,中国烹饪古籍丛书33种/09 千金食治  食疗方,121,539,545,539,64,11.0,0.11873840445269017,0.02040816326530612,-0.09833024118738405
OCR-0012,中国烹饪古籍丛书33种/10 清异录（饮食部分）,9,448,448,0,28,,0.0625,,
OCR-0013,中国烹饪古籍丛书33种/12 齐民要术（饮食部分）,222,539,539,0,33,,0.061224489795918366,,
OCR-0014,中国烹饪古籍丛书33种/13 食宪鸿秘,172,208,208,0,6,,0.028846153846153848,,
OCR-0015,中国烹饪古籍丛书33种/14 随息居饮食谱,87,429,429,0,34,,0.07925407925407925,,
OCR-0016,中国烹饪古籍丛书33种/15 饮馔服食笺,81,150,150,0,10,,0.06666666666666667,,
OCR-0017,中国烹饪古籍丛书33种/16 饮食须知,73,496,496,0,21,,0.04233870967741935,,
OCR-0018,中国烹饪古籍丛书33种/17 能改斋漫录（饮食部分）,28,599,599,0,47,,0.07846410684474124,,
OCR-0019,中国烹饪古籍丛书33种/18 先秦烹饪史料选注,102,447,447,0,26,,0.058165548098434,,
OCR-0020,中国烹饪古籍丛书33种/19 吴氏中馈录  本心斋疏食谱  （外四种）,22,264,264,0,6,,0.022727272727272728,,
OCR-0021,中国烹饪古籍丛书33种/20 居家必用事类全集（饮食类）,96,386,386,0,18,,0.046632124352331605,,
OCR-0022,中国烹饪古籍丛书33种/22 菽园杂记（饮食部分）、升庵外集（饮食部分） 、 饮食绅言（饮食部分）,44,410,410,0,34,,0.08292682926829269,,
OCR-0023,中国烹饪古籍丛书33种/23 粥谱（二种）,85,118,118,0,3,,0.025423728813559324,,
OCR-0024,中国烹饪古籍丛书33种/25 调鼎集,154,198,198,0,20,,0.10101010101010101,,
OCR-0025,中国烹饪古籍丛书33种/25 调鼎集,605,145,145,0,22,,0.15172413793103448,,
OCR-0026,中国烹饪古籍丛书33种/26 筵款丰馐依祥调鼎新录,55,429,429,0,24,,0.055944055944055944,,
OCR-0027,中国烹饪古籍丛书33种/27 饮膳正要,142,261,261,0,11,,0.0421455938697318,,
OCR-0028,中国烹饪古籍丛书33种/28 浪迹丛谈四种（饮食部分）,67,531,531,0,17,,0.032015065913371,,
OCR-0029,中国烹饪古籍丛书33种/29 陆游饮食诗选注,77,358,358,0,28,,0.0782122905027933,,
OCR-0030,中国烹饪古籍丛书33种/30 随园食单补证,168,595,595,0,38,,0.06386554621848739,,
OCR-0031,中国烹饪古籍丛书33种/31 清嘉录,52,539,539,0,43,,0.07977736549165121,,
OCR-0032,中国烹饪古籍丛书33种/32 食疗本草,496,72,72,0,7,,0.09722222222222222,,
OCR-0033,中国烹饪古籍丛书33种/33 东京梦华录  都城纪胜  西湖老人繁胜录  梦粱录  武林旧事,482,523,523,0,11,,0.021032504780114723,,
OCR-0034,养老奉亲书_13767473,104,777,777,0,53,,0.0682110682110682,,
OCR-0036,刘民叔汤液/NDL2576103_湯液本草3卷.(3),50,68,75,0,7,,0.10294117647058823,,
OCR-0037,千金翼方.三十卷.唐.孙思邈撰.清光绪四年景元大德梅溪书院本,217,73,113,73,40,0.0,0.547945205479452,0.0,-0.547945205479452
OCR-0038,"古刻新韵 野菜博录 (（明）鲍山编, 鮑山 etc.) (z-library.sk, 1lib.sk, z-lib.sk)",325,80,85,80,5,0.0,0.0625,0.0,-0.0625
OCR-0039,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,572,76,113,76,38,0.0,0.5,0.0,-0.5
OCR-0040,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,853,44,57,45,13,1.0,0.29545454545454547,0.022727272727272728,-0.27272727272727276
OCR-0044,太平圣惠方(1)/18太平圣惠方,78,52,64,0,12,,0.23076923076923078,,
OCR-0045,太平圣惠方(1)/19太平圣惠方,35,72,87,0,15,,0.20833333333333334,,
OCR-0049,太平圣惠方(1)/31太平圣惠方,16,70,85,0,15,,0.21428571428571427,,
OCR-0050,太平圣惠方(1)/36太平圣惠方,42,130,141,0,13,,0.1,,
OCR-0052,太平圣惠方(1)/43太平圣惠方,55,81,89,0,9,,0.1111111111111111,,
OCR-0053,太平圣惠方(1)/46太平圣惠方,27,107,122,0,17,,0.1588785046728972,,
OCR-0054,太平圣惠方(1)/4太平圣惠方,46,101,115,0,14,,0.13861386138613863,,
OCR-0055,太平圣惠方(1)/8太平圣惠方,4,110,120,0,10,,0.09090909090909091,,
OCR-0056,本草求真 清·黄宫绣 篡 席与民 朱肇和 点校 1987年_10461767,371,319,346,319,51,0.0,0.15987460815047022,0.0,-0.15987460815047022
OCR-0057,随园食单（全本全注全译）中华书局2022,199,401,276,401,165,0.0,0.4114713216957606,0.0,-0.4114713216957606
OCR-0058,随息居/中医古籍整理丛书--110随息居饮食谱-[清]王士雄,66,720,720,0,30,,0.041666666666666664,,
OCR-0059,食物本草_14051796,29,528,527,528,67,0.0,0.1268939393939394,0.0,-0.1268939393939394
OCR-0060,食鉴本草_14274304,8,229,236,229,34,26.0,0.14847161572052403,0.11353711790393013,-0.0349344978165939
