sample_id,source_key,page_number,reference_chars,raw_chars,cleaned_chars,raw_edit_distance,cleaned_edit_distance,raw_cer,cleaned_cer,delta_cleaned_minus_raw_cer,source_key_normalised,source_id,archived_source_file,extraction_included_bool,bibliographic_identity_status,crosswalk_matched,corpus_extraction_included
OCR-0001,13 食宪鸿秘,136,204,210,204,30,4.0,0.1470588235294117,0.0196078431372549,-0.1274509803921568,13 食宪鸿秘,SF02,13 食宪鸿秘.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0003,8996f7340uae72fc4f9f641ea0edcd19,104,311,416,311,197,1.0,0.6334405144694534,0.0032154340836012,-0.6302250803858521,8996f7340uae72fc4f9f641ea0edcd19,SF05,8996f7340uae72fc4f9f641ea0edcd19.txt,True,unresolved filename,True,True
OCR-0004,8e39fed12o25fb8578276afd09e356f0,293,96,104,96,21,0.0,0.21875,0.0,-0.21875,8e39fed12o25fb8578276afd09e356f0,SF06,8e39fed12o25fb8578276afd09e356f0.txt,True,unresolved filename,True,True
OCR-0005,中国烹饪古籍丛书33种/02 易牙遗意,83,274,355,274,127,0.0,0.4635036496350365,0.0,-0.4635036496350365,中国烹饪古籍丛书33种/02 易牙遗意,SF08,中国烹饪古籍丛书33种/02 易牙遗意.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0006,中国烹饪古籍丛书33种/04 醒园录,33,238,294,238,88,0.0,0.3697478991596639,0.0,-0.3697478991596639,中国烹饪古籍丛书33种/04 醒园录,SF10,中国烹饪古籍丛书33种/04 醒园录.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0007,中国烹饪古籍丛书33种/05 随园食单,8,349,338,349,62,0.0,0.1776504297994269,0.0,-0.1776504297994269,中国烹饪古籍丛书33种/05 随园食单,SF11,中国烹饪古籍丛书33种/05 随园食单.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0008,中国烹饪古籍丛书33种/06 素食说略,3,140,143,140,18,2.0,0.1285714285714285,0.0142857142857142,-0.1142857142857142,中国烹饪古籍丛书33种/06 素食说略,SF12,中国烹饪古籍丛书33种/06 素食说略.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0009,中国烹饪古籍丛书33种/07 吕氏春秋本味篇,75,488,490,0,40,,0.081967213114754,,,中国烹饪古籍丛书33种/07 吕氏春秋本味篇,SF13,中国烹饪古籍丛书33种/07 吕氏春秋本味篇.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0010,中国烹饪古籍丛书33种/08 养小录,92,294,307,294,50,0.0,0.1700680272108843,0.0,-0.1700680272108843,中国烹饪古籍丛书33种/08 养小录,SF14,中国烹饪古籍丛书33种/08 养小录.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0011,中国烹饪古籍丛书33种/09 千金食治  食疗方,121,539,545,539,64,11.0,0.1187384044526901,0.0204081632653061,-0.098330241187384,中国烹饪古籍丛书33种/09 千金食治  食疗方,SF15,中国烹饪古籍丛书33种/09 千金食治  食疗方.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0012,中国烹饪古籍丛书33种/10 清异录（饮食部分）,9,448,448,0,28,,0.0625,,,中国烹饪古籍丛书33种/10 清异录（饮食部分）,SF16,中国烹饪古籍丛书33种/10 清异录（饮食部分）.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0013,中国烹饪古籍丛书33种/12 齐民要术（饮食部分）,222,539,539,0,33,,0.0612244897959183,,,中国烹饪古籍丛书33种/12 齐民要术（饮食部分）,SF18,中国烹饪古籍丛书33种/12 齐民要术（饮食部分）.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0014,中国烹饪古籍丛书33种/13 食宪鸿秘,172,208,208,0,6,,0.0288461538461538,,,中国烹饪古籍丛书33种/13 食宪鸿秘,SF19,中国烹饪古籍丛书33种/13 食宪鸿秘.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0015,中国烹饪古籍丛书33种/14 随息居饮食谱,87,429,429,0,34,,0.0792540792540792,,,中国烹饪古籍丛书33种/14 随息居饮食谱,SF20,中国烹饪古籍丛书33种/14 随息居饮食谱.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0016,中国烹饪古籍丛书33种/15 饮馔服食笺,81,150,150,0,10,,0.0666666666666666,,,中国烹饪古籍丛书33种/15 饮馔服食笺,SF21,中国烹饪古籍丛书33种/15 饮馔服食笺.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0017,中国烹饪古籍丛书33种/16 饮食须知,73,496,496,0,21,,0.0423387096774193,,,中国烹饪古籍丛书33种/16 饮食须知,SF22,中国烹饪古籍丛书33种/16 饮食须知.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0018,中国烹饪古籍丛书33种/17 能改斋漫录（饮食部分）,28,599,599,0,47,,0.0784641068447412,,,中国烹饪古籍丛书33种/17 能改斋漫录（饮食部分）,SF23,中国烹饪古籍丛书33种/17 能改斋漫录（饮食部分）.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0019,中国烹饪古籍丛书33种/18 先秦烹饪史料选注,102,447,447,0,26,,0.058165548098434,,,中国烹饪古籍丛书33种/18 先秦烹饪史料选注,SF24,中国烹饪古籍丛书33种/18 先秦烹饪史料选注.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0020,中国烹饪古籍丛书33种/19 吴氏中馈录  本心斋疏食谱  （外四种）,22,264,264,0,6,,0.0227272727272727,,,中国烹饪古籍丛书33种/19 吴氏中馈录  本心斋疏食谱  （外四种）,SF25,中国烹饪古籍丛书33种/19 吴氏中馈录  本心斋疏食谱  （外四种）.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0021,中国烹饪古籍丛书33种/20 居家必用事类全集（饮食类）,96,386,386,0,18,,0.0466321243523316,,,中国烹饪古籍丛书33种/20 居家必用事类全集（饮食类）,SF26,中国烹饪古籍丛书33种/20 居家必用事类全集（饮食类）.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0022,中国烹饪古籍丛书33种/22 菽园杂记（饮食部分）、升庵外集（饮食部分） 、 饮食绅言（饮食部分）,44,410,410,0,34,,0.0829268292682926,,,中国烹饪古籍丛书33种/22 菽园杂记（饮食部分）、升庵外集（饮食部分） 、 饮食绅言（饮食部分）,SF28,中国烹饪古籍丛书33种/22 菽园杂记（饮食部分）、升庵外集（饮食部分） 、 饮食绅言（饮食部分）.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0023,中国烹饪古籍丛书33种/23 粥谱（二种）,85,118,118,0,3,,0.0254237288135593,,,中国烹饪古籍丛书33种/23 粥谱（二种）,SF29,中国烹饪古籍丛书33种/23 粥谱（二种）.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0024,中国烹饪古籍丛书33种/25 调鼎集,154,198,198,0,20,,0.101010101010101,,,中国烹饪古籍丛书33种/25 调鼎集,SF30,中国烹饪古籍丛书33种/25 调鼎集.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0025,中国烹饪古籍丛书33种/25 调鼎集,605,145,145,0,22,,0.1517241379310344,,,中国烹饪古籍丛书33种/25 调鼎集,SF30,中国烹饪古籍丛书33种/25 调鼎集.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0026,中国烹饪古籍丛书33种/26 筵款丰馐依祥调鼎新录,55,429,429,0,24,,0.0559440559440559,,,中国烹饪古籍丛书33种/26 筵款丰馐依祥调鼎新录,SF31,中国烹饪古籍丛书33种/26 筵款丰馐依祥调鼎新录.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0027,中国烹饪古籍丛书33种/27 饮膳正要,142,261,261,0,11,,0.0421455938697318,,,中国烹饪古籍丛书33种/27 饮膳正要,SF32,中国烹饪古籍丛书33种/27 饮膳正要.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0028,中国烹饪古籍丛书33种/28 浪迹丛谈四种（饮食部分）,67,531,531,0,17,,0.032015065913371,,,中国烹饪古籍丛书33种/28 浪迹丛谈四种（饮食部分）,SF33,中国烹饪古籍丛书33种/28 浪迹丛谈四种（饮食部分）.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0029,中国烹饪古籍丛书33种/29 陆游饮食诗选注,77,358,358,0,28,,0.0782122905027933,,,中国烹饪古籍丛书33种/29 陆游饮食诗选注,SF34,中国烹饪古籍丛书33种/29 陆游饮食诗选注.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0030,中国烹饪古籍丛书33种/30 随园食单补证,168,595,595,0,38,,0.0638655462184873,,,中国烹饪古籍丛书33种/30 随园食单补证,SF35,中国烹饪古籍丛书33种/30 随园食单补证.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0031,中国烹饪古籍丛书33种/31 清嘉录,52,539,539,0,43,,0.0797773654916512,,,中国烹饪古籍丛书33种/31 清嘉录,SF36,中国烹饪古籍丛书33种/31 清嘉录.txt,True,title-bearing filename; authority record not archived,True,True
