analysis_set,method,n_passages,gold_relations,candidate_pairs,predicted_relations,tp,fp,fn,precision,precision_ci95_low,precision_ci95_high,recall,recall_ci95_low,recall_ci95_high,f1,f1_ci95_low,f1_ci95_high
primary_present_vs_all_nonpresent,typed_cooccurrence,65,445,1162,1162,445,717,0,0.382960413080895,0.32665280309362443,0.43931145931464816,1.0,1.0,1.0,0.5538270068450529,0.4924465577222375,0.6104466916668915
primary_present_vs_all_nonpresent,distance_trigger_heuristic,65,445,1162,560,263,297,182,0.46964285714285714,0.38517116560010245,0.5561986293076308,0.5910112359550562,0.4903367295833725,0.6858050768600883,0.5233830845771145,0.4472349745986448,0.5935417625985505
primary_present_vs_all_nonpresent,fixed_charngram_comparator,65,445,1162,670,245,425,200,0.3656716417910448,0.3017101749515201,0.42939801747691186,0.550561797752809,0.4506502969947226,0.6585956416464891,0.43946188340807174,0.3728395613564575,0.5079371096429474
primary_present_vs_all_nonpresent,deepseek_supported_or_plausible,65,445,1162,212,141,71,304,0.6650943396226415,0.556096991110098,0.7541696428571428,0.31685393258426964,0.21568627450980393,0.42013574660633457,0.4292237442922374,0.3165467625899281,0.522228635074929
primary_present_vs_all_nonpresent,deepseek_supported_only,65,445,1162,193,134,59,311,0.694300518134715,0.5858517608517608,0.771813356470258,0.30112359550561796,0.1964735516372796,0.40385186757215613,0.4200626959247649,0.2982057983226469,0.5175217320428689
primary_present_vs_all_nonpresent,local_symbolic_text,65,445,1162,615,222,393,223,0.36097560975609755,0.2861946894033025,0.4330227644144834,0.49887640449438203,0.39080410733199955,0.6153990024937654,0.4188679245283019,0.33782161234991426,0.4967200813471281
primary_present_vs_all_nonpresent,cmfkg_frozen_hybrid,65,445,1162,615,222,393,223,0.36097560975609755,0.2870121371715086,0.4342159188955996,0.49887640449438203,0.38863474025974026,0.6115546828145252,0.4188679245283019,0.33618673516621783,0.4995893522929596
sensitivity_present_vs_absent_only,typed_cooccurrence,65,445,1020,1020,445,575,0,0.4362745098039216,0.37595808024296673,0.4971222768036262,1.0,1.0,1.0,0.6075085324232082,0.5464673460924326,0.6641037735849056
sensitivity_present_vs_absent_only,distance_trigger_heuristic,65,445,1020,510,263,247,182,0.515686274509804,0.42789509897321903,0.6064523596176822,0.5910112359550562,0.4903367295833725,0.6858050768600883,0.5507853403141362,0.4727215909090909,0.6227784395922551
sensitivity_present_vs_absent_only,fixed_charngram_comparator,65,445,1020,608,245,363,200,0.4029605263157895,0.3279625189782179,0.4837145382666555,0.550561797752809,0.4506502969947226,0.6585956416464891,0.46533713200379867,0.39137743628185906,0.5452939723320157
sensitivity_present_vs_absent_only,local_symbolic_text,65,445,1020,554,222,332,223,0.4007220216606498,0.3146002228227374,0.4911259972903808,0.49887640449438203,0.39080410733199955,0.6153990024937654,0.4444444444444444,0.3557980062126354,0.5345449707993245
sensitivity_present_vs_absent_only,cmfkg_frozen_hybrid,65,445,1020,554,222,332,223,0.4007220216606498,0.31399574468085106,0.489751391161446,0.49887640449438203,0.38863474025974026,0.6115546828145252,0.4444444444444444,0.35293848800946337,0.5347119853419667
sensitivity_present_vs_absent_only,deepseek_supported_or_plausible,65,445,1020,197,141,56,304,0.7157360406091371,0.5939046637055838,0.8157927467923539,0.31685393258426964,0.21568627450980393,0.42013574660633457,0.4392523364485981,0.3221750301873017,0.54175082436603
sensitivity_present_vs_absent_only,deepseek_supported_only,65,445,1020,182,134,48,311,0.7362637362637363,0.6119275053304905,0.8279082270567641,0.30112359550561796,0.1964735516372796,0.40385186757215613,0.4274322169059011,0.30059567804811144,0.5337217926917831
