participant_id,randomization_seed,randomization_method,assigned_sequence,period1_system_blind_code,period2_system_blind_code,period1_task_set,period2_task_set,assigned_by_code,assignment_date,allocation_concealed_until,deviation,deviation_reason
P001,20351097.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-05,2026-06-27,N,
P002,20273663.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-05,2026-06-27,N,
P003,20349494.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-06,2026-06-27,N,
P004,20294882.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-06,2026-06-27,N,
P005,20271356.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-07,2026-06-27,N,
P006,,Not randomized (prespecified pre-randomization exclusion),,,,,,COORDINATOR,2026-04-06,2026-06-27,Y,eligibility_not_met
P007,20355952.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-07,2026-06-27,N,
P008,20359689.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-08,2026-06-27,N,
P009,20275399.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-08,2026-06-27,N,
P010,20294648.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-11,2026-06-27,N,
P011,20270122.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-11,2026-06-27,N,
P012,20283187.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-11,2026-06-27,N,
P013,20354477.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-11,2026-06-27,N,
P014,20328256.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-11,2026-06-27,N,
P015,20267501.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-11,2026-06-27,N,
P016,20320926.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,B,A,COORDINATOR,2026-04-12,2026-06-27,N,
P017,20286422.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,A,B,COORDINATOR,2026-04-12,2026-06-27,N,
P018,20271640.0,Stratified permuted blocks by role (block sizes 4/6),AB,SYS-R4,SYS-T9,A,B,COORDINATOR,2026-04-13,2026-06-27,N,
P019,,Not randomized (prespecified pre-randomization exclusion),,,,,,COORDINATOR,2026-04-01,2026-06-27,Y,consent_not_completed
P020,20332568.0,Stratified permuted blocks by role (block sizes 4/6),BA,SYS-T9,SYS-R4,B,A,COORDINATOR,2026-04-13,2026-06-27,N,
