source_id,archived_source_file,extraction_included,extraction_chunks,raw_entity_mentions,annotation_frame_included,annotation_frame_units,paired_reference_records,crosswalk_status,bibliographic_identity_status
SF01,1.txt,True,8,0,False,0,0,extraction only,unresolved filename
SF02,13 食宪鸿秘.txt,True,159,6285,True,23,22,shared source identifier,title-bearing filename; authority record not archived
SF03,2.txt,True,10,0,False,0,0,extraction only,unresolved filename
SF04,5、食品集/食品集.2卷附录1卷.明吴禄辑.嘉靖16年序刊.txt,True,8,0,False,0,0,extraction only,title-bearing filename; authority record not archived
SF05,8996f7340uae72fc4f9f641ea0edcd19.txt,True,491,8280,True,23,23,shared source identifier,unresolved filename
SF06,8e39fed12o25fb8578276afd09e356f0.txt,True,383,16682,True,26,26,shared source identifier,unresolved filename
SF07,中国烹饪古籍丛书33种/01 云林堂饮食制度集.txt,True,48,1299,True,10,9,shared source identifier,title-bearing filename; authority record not archived
SF08,中国烹饪古籍丛书33种/02 易牙遗意.txt,True,72,2372,True,15,15,shared source identifier,title-bearing filename; authority record not archived
SF09,中国烹饪古籍丛书33种/03 中馈录.txt,True,17,415,True,6,6,shared source identifier,title-bearing filename; authority record not archived
SF10,中国烹饪古籍丛书33种/04 醒园录.txt,True,62,2102,True,14,12,shared source identifier,title-bearing filename; authority record not archived
SF11,中国烹饪古籍丛书33种/05 随园食单.txt,True,135,4200,True,20,20,shared source identifier,title-bearing filename; authority record not archived
SF12,中国烹饪古籍丛书33种/06 素食说略.txt,True,61,2156,True,15,14,shared source identifier,title-bearing filename; authority record not archived
SF13,中国烹饪古籍丛书33种/07 吕氏春秋本味篇.txt,True,87,1216,True,11,10,shared source identifier,title-bearing filename; authority record not archived
SF14,中国烹饪古籍丛书33种/08 养小录.txt,True,100,3042,True,17,17,shared source identifier,title-bearing filename; authority record not archived
SF15,中国烹饪古籍丛书33种/09 千金食治  食疗方.txt,True,241,12878,False,0,0,extraction only,title-bearing filename; authority record not archived
SF16,中国烹饪古籍丛书33种/10 清异录（饮食部分）.txt,True,184,2086,True,17,15,shared source identifier,title-bearing filename; authority record not archived
SF17,中国烹饪古籍丛书33种/11 闲情偶寄.txt,True,77,872,True,14,13,shared source identifier,title-bearing filename; authority record not archived
SF18,中国烹饪古籍丛书33种/12 齐民要术（饮食部分）.txt,True,276,7014,True,27,26,shared source identifier,title-bearing filename; authority record not archived
SF19,中国烹饪古籍丛书33种/13 食宪鸿秘.txt,True,159,6323,True,23,22,shared source identifier,title-bearing filename; authority record not archived
SF20,中国烹饪古籍丛书33种/14 随息居饮食谱.txt,True,160,8470,True,23,22,shared source identifier,title-bearing filename; authority record not archived
SF21,中国烹饪古籍丛书33种/15 饮馔服食笺.txt,True,170,7046,True,23,22,shared source identifier,title-bearing filename; authority record not archived
SF22,中国烹饪古籍丛书33种/16 饮食须知.txt,True,115,2808,True,18,18,shared source identifier,title-bearing filename; authority record not archived
