item,panel,series,category,n,count,mean,sd,numerator,denominator,rate_percent,ci95_low,ci95_high,archive_source,interpretation
Fig3,,canonical_entities,Ingredient,,20745,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Disease,,15222,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Effect,,11757,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Recipe,,9204,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Source text,,6065,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Contraindication,,5063,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Cooking method,,4676,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Health principle,,4604,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Physician,,3616,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Meridian,,1314,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Nature,,118,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Flavour,,91,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig3,,canonical_entities,Organ,,47,,,,,,,,kg_canonical_stats.json,canonical unique-entity count
Fig4,,GPT-4o-mini,Prompt 1,,,,0.5089,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,GPT-4o-mini,Prompt 2,,,,0.5306,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,GPT-4o-mini,Prompt 3,,,,0.5064,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,DeepSeek-chat,Prompt 1,,,,0.5511,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,DeepSeek-chat,Prompt 2,,,,0.5762,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,DeepSeek-chat,Prompt 3,,,,0.5974,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,GLM-4-plus,Prompt 1,,,,0.5516,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,GLM-4-plus,Prompt 2,,,,0.5452,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,GLM-4-plus,Prompt 3,,,,0.5372,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,Qwen-max,Prompt 1,,,,0.5687,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,Qwen-max,Prompt 2,,,,0.5592,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig4,,Qwen-max,Prompt 3,,,,0.5590,,,,,,prompt3_evaluation.json,strict exact-span-and-class micro-F1 on reused development passages
Fig6,,type_derived_label,L1 Remember,,22268,,,,,,,,bloom_annotation_stats.json,deterministic type-to-label distribution
