method,min_count,min_length,single_char_option,single_char_labels,lexicon_size,dev_predicted_entities,tp,fp,fn,precision,recall,f1
tuned_train_lexicon_longest_match,1,2,1,食味;食性,7012,1894,254,1640,1561,0.1341077085533263,0.1399449035812672,0.13696414127797246
tuned_train_lexicon_longest_match,1,2,2,归经;脏腑;食味;食性,7026,1988,255,1733,1560,0.12826961770623743,0.14049586776859505,0.13410465422035234
tuned_train_lexicon_longest_match,1,2,0,,6984,1509,214,1295,1601,0.1418157720344599,0.11790633608815428,0.12876052948255115
tuned_train_lexicon_longest_match,2,2,1,食味;食性,1054,1246,183,1063,1632,0.14686998394863562,0.10082644628099173,0.1195687683763476
tuned_train_lexicon_longest_match,2,2,2,归经;脏腑;食味;食性,1066,1366,185,1181,1630,0.13543191800878476,0.10192837465564739,0.11631562401760452
tuned_train_lexicon_longest_match,3,2,1,食味;食性,444,976,143,833,1672,0.14651639344262296,0.07878787878787878,0.10247223217484772
tuned_train_lexicon_longest_match,2,2,0,,1036,914,138,776,1677,0.15098468271334792,0.07603305785123966,0.10113594723341883
tuned_train_lexicon_longest_match,3,2,2,归经;脏腑;食味;食性,454,1101,144,957,1671,0.1307901907356948,0.07933884297520662,0.09876543209876544
tuned_train_lexicon_longest_match,3,1,0,,627,3472,246,3226,1569,0.07085253456221198,0.13553719008264462,0.09305844524304897
tuned_train_lexicon_longest_match,3,1,1,食味;食性,627,3472,246,3226,1569,0.07085253456221198,0.13553719008264462,0.09305844524304897
tuned_train_lexicon_longest_match,3,1,2,归经;脏腑;食味;食性,627,3472,246,3226,1569,0.07085253456221198,0.13553719008264462,0.09305844524304897
tuned_train_lexicon_longest_match,2,1,0,,1326,4588,296,4292,1519,0.06451612903225806,0.1630853994490358,0.09245666094018427
tuned_train_lexicon_longest_match,2,1,1,食味;食性,1326,4588,296,4292,1519,0.06451612903225806,0.1630853994490358,0.09245666094018427
tuned_train_lexicon_longest_match,2,1,2,归经;脏腑;食味;食性,1326,4588,296,4292,1519,0.06451612903225806,0.1630853994490358,0.09245666094018427
tuned_train_lexicon_longest_match,1,1,0,,7571,6641,372,6269,1443,0.05601566029212468,0.2049586776859504,0.0879848628192999
tuned_train_lexicon_longest_match,1,1,1,食味;食性,7571,6641,372,6269,1443,0.05601566029212468,0.2049586776859504,0.0879848628192999
tuned_train_lexicon_longest_match,1,1,2,归经;脏腑;食味;食性,7571,6641,372,6269,1443,0.05601566029212468,0.2049586776859504,0.0879848628192999
tuned_train_lexicon_longest_match,3,2,0,,430,630,99,531,1716,0.15714285714285714,0.05454545454545454,0.08098159509202453
tuned_train_lexicon_longest_match,1,3,1,食味;食性,4293,748,95,653,1720,0.1270053475935829,0.05234159779614325,0.07413187670698401
tuned_train_lexicon_longest_match,1,3,2,归经;脏腑;食味;食性,4338,891,100,791,1715,0.1122334455667789,0.05509641873278237,0.07390983000739099
tuned_train_lexicon_longest_match,2,3,1,食味;食性,388,503,74,429,1741,0.147117296222664,0.04077134986225895,0.0638481449525453
tuned_train_lexicon_longest_match,2,3,2,归经;脏腑;食味;食性,410,655,77,578,1738,0.11755725190839694,0.04242424242424243,0.062348178137651825
tuned_train_lexicon_longest_match,3,3,1,食味;食性,106,441,60,381,1755,0.1360544217687075,0.03305785123966942,0.053191489361702135
tuned_train_lexicon_longest_match,3,3,2,归经;脏腑;食味;食性,123,587,62,525,1753,0.10562180579216354,0.03415977961432507,0.051623646960865945
tuned_train_lexicon_longest_match,1,3,0,,4221,248,49,199,1766,0.1975806451612903,0.02699724517906336,0.04750363548230732
tuned_train_lexicon_longest_match,2,3,0,,351,110,24,86,1791,0.21818181818181817,0.013223140495867768,0.024935064935064935
tuned_train_lexicon_longest_match,3,3,0,,83,59,12,47,1803,0.2033898305084746,0.006611570247933884,0.012806830309498397
