model,sample_id,source_key,raw_chars,cleaned_chars,reference_chars,entity_reference_count,entity_raw_count,entity_raw_tp,entity_raw_fp,entity_raw_fn,entity_raw_stability_precision,entity_raw_stability_recall,entity_raw_stability_f1,entity_cleaned_count,entity_cleaned_tp,entity_cleaned_fp,entity_cleaned_fn,entity_cleaned_stability_precision,entity_cleaned_stability_recall,entity_cleaned_stability_f1,relation_reference_count,relation_raw_count,relation_raw_tp,relation_raw_fp,relation_raw_fn,relation_raw_stability_precision,relation_raw_stability_recall,relation_raw_stability_f1,relation_cleaned_count,relation_cleaned_tp,relation_cleaned_fp,relation_cleaned_fn,relation_cleaned_stability_precision,relation_cleaned_stability_recall,relation_cleaned_stability_f1,rule_reference_count,rule_raw_count,rule_raw_tp,rule_raw_fp,rule_raw_fn,rule_raw_stability_precision,rule_raw_stability_recall,rule_raw_stability_f1,rule_cleaned_count,rule_cleaned_tp,rule_cleaned_fp,rule_cleaned_fn,rule_cleaned_stability_precision,rule_cleaned_stability_recall,rule_cleaned_stability_f1
SikuRoBERTa-CRF_archived,OCR-0001,13 食宪鸿秘,210,204,204,28,25,24,1,4,0.96,0.8571428571428571,0.9056603773584904,28,28,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0003,8996f7340uae72fc4f9f641ea0edcd19,416,311,311,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0004,8e39fed12o25fb8578276afd09e356f0,104,96,96,3,2,2,0,1,1.0,0.6666666666666666,0.8,3,3,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0005,中国烹饪古籍丛书33种/02 易牙遗意,355,274,274,34,37,31,6,3,0.8378378378378378,0.9117647058823529,0.8732394366197184,34,34,0,0,1.0,1.0,1.0,267,300,221,79,46,0.7366666666666667,0.8277153558052435,0.7795414462081129,267,267,0,0,1.0,1.0,1.0,36,33,10,23,26,0.30303030303030304,0.2777777777777778,0.28985507246376807,36,36,0,0,1.0,1.0,1.0
SikuRoBERTa-CRF_archived,OCR-0006,中国烹饪古籍丛书33种/04 醒园录,294,238,238,14,18,12,6,2,0.6666666666666666,0.8571428571428571,0.75,14,14,0,0,1.0,1.0,1.0,19,23,6,17,13,0.2608695652173913,0.3157894736842105,0.28571428571428575,19,19,0,0,1.0,1.0,1.0,1,1,0,1,1,0.0,0.0,0.0,1,1,0,0,1.0,1.0,1.0
SikuRoBERTa-CRF_archived,OCR-0007,中国烹饪古籍丛书33种/05 随园食单,338,349,349,6,8,6,2,0,0.75,1.0,0.8571428571428571,6,6,0,0,1.0,1.0,1.0,4,10,4,6,0,0.4,1.0,0.5714285714285715,4,4,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0008,中国烹饪古籍丛书33种/06 素食说略,143,140,140,2,1,1,0,1,1.0,0.5,0.6666666666666666,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0010,中国烹饪古籍丛书33种/08 养小录,307,294,294,21,23,17,6,4,0.7391304347826086,0.8095238095238095,0.7727272727272727,21,21,0,0,1.0,1.0,1.0,35,22,0,22,35,0.0,0.0,0.0,35,35,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0011,中国烹饪古籍丛书33种/09 千金食治  食疗方,545,539,539,50,42,36,6,14,0.8571428571428571,0.72,0.782608695652174,52,50,2,0,0.9615384615384616,1.0,0.9803921568627451,401,276,203,73,198,0.7355072463768116,0.5062344139650873,0.5997045790251109,437,398,39,3,0.9107551487414187,0.9925187032418953,0.9498806682577564,220,0,0,0,220,0.0,0.0,0.0,245,220,25,0,0.8979591836734694,1.0,0.9462365591397849
SikuRoBERTa-CRF_archived,OCR-0037,千金翼方.三十卷.唐.孙思邈撰.清光绪四年景元大德梅溪书院本,113,73,73,1,1,0,1,1,0.0,0.0,0.0,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0038,"古刻新韵 野菜博录 (（明）鲍山编, 鮑山 etc.) (z-library.sk, 1lib.sk, z-lib.sk)",85,80,80,1,1,1,0,0,1.0,1.0,1.0,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0039,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,113,76,76,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0040,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,57,45,44,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0056,本草求真 清·黄宫绣 篡 席与民 朱肇和 点校 1987年_10461767,346,319,319,41,39,36,3,5,0.9230769230769231,0.8780487804878049,0.9,41,41,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0057,随园食单（全本全注全译）中华书局2022,276,401,401,25,27,22,5,3,0.8148148148148148,0.88,0.8461538461538461,25,25,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0059,食物本草_14051796,527,528,528,31,32,28,4,3,0.875,0.9032258064516129,0.8888888888888888,31,31,0,0,1.0,1.0,1.0,135,144,98,46,37,0.6805555555555556,0.725925925925926,0.7025089605734767,135,135,0,0,1.0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
SikuRoBERTa-CRF_archived,OCR-0060,食鉴本草_14274304,236,229,229,36,40,33,7,3,0.825,0.9166666666666666,0.8684210526315789,40,33,7,3,0.825,0.9166666666666666,0.8684210526315789,129,126,88,38,41,0.6984126984126984,0.6821705426356589,0.6901960784313725,95,85,10,44,0.8947368421052632,0.6589147286821705,0.7589285714285714,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
